price,city,address,beds
"$399,900",RockSpringGA30739,206PleasantRidgeCir,4
"$279,000",RockSpringGA30739,257VanDellDr,3
"$519,900",RockSpringGA30739,72FarmViewCir,5
"$75,000",RockSpringGA30739,00BicentennialTrail,Unknown
"$75,000",RockSpringGA30739,00BicentennialTr,Unknown
"$48,900",RockSpringGA30739,38BlueHerronDr,Unknown
"$390,000",RockSpringGA30739,32OakMeadowDrive,4
"$400,000",RockSpringGA30739,1476ArnoldRoad,Unknown
"$299,000",RockSpringGA30739,Highway27,Unknown
"$1,470,000",RockSpringGA30739,158ArnoldRd,Unknown
"$699,000",RockSpringGA30739,56SaddleBrookeLn,4
"$689,900",RockSpringGA30739,476WindingRidgeRd,4
"$675,000",RockSpringGA30739,66CheshireCrossingDr,3
"$675,000",RockSpringGA30739,66CheshireCrossingDrive,3
"$619,900",RockSpringGA30739,28LouieLn,4
"$519,900",RockSpringGA30739,72FarmViewCir,5
"$499,999",RockSpringGA30739,0TemperanceHallRd,Unknown
"$445,000",RockSpringGA30739,205HoneysuckleDr,4
"$429,900",RockSpringGA30739,24HoneysuckleDrLot2,4
"$419,900",RockSpringGA30739,1385CountyLineRd,4
